id_reclamacao;id_cliente;tipo_cliente;id_produto;nome_produto;descricao_produto;categoria_produto;preco;vendedor;tipo_vendedor;avaliacao_produto;data_compra;data_abertura;texto_reclamacao;categoria_informada_cliente;tags_sistema;classe
R00144;C0097;padrao;P003;Quebra-cabeça 1000 peças Paisagem Alpina;Quebra-cabeça de 1000 peças, 70 x 50 cm montado;brinquedo;81,53;Ponto Baixo Preço;vendedor;3,6;2026-06-26;2026-07-26;Boa tarde. Ao abrir a embalagem do quebra-cabeça de 1000 peças adquirido recentemente, encontrei um panfleto promovendo um produto cuja comercialização não é permitida nesta plataforma, com contato via WhatsApp para negociação externa. Solicito que a ocorrência seja devidamente apurada pelas instâncias responsáveis.;artigo_proibido;problema|compra|cadastro;artigo_proibido
R00093;C0106;padrao;P031;Mochila executiva impermeável;Mochila para notebook de até 15,6 polegadas, com saída USB;outros;176,83;Ponto Baixo Preço;vendedor;3,8;2026-02-05;2026-02-28;a mochila executiva impermeável que recebi tem o nome escrito errado na própria embalagem, o que deixa claro que não é o produto verdadeiro. além disso, veio com um cheiro forte de plástico insuportável. vou reportar o vendedor ponto baixo preço por entregar algo que não corresponde ao que foi anunciado.;fraude_vendedor;compra|pagamento|urgente|atendimento;falsificado
R00159;C0111;padrao;P029;Panela de pressão 4,5 litros;Panela de pressão com fechamento externo e válvula de segurança;outros;89,74;Importados do Sul;vendedor;2,8;2026-07-23;2026-07-29;Adquiri a Panela de pressão 4,5 litros pelo valor promocional, porém o crédito recebido após a devolução do produto foi calculado com base em um valor inferior ao que efetivamente paguei. O valor correto a ser considerado é R$ 89,74.;devolucao_ressarcimento;produto|pedido;devolucao_ressarcimento
R00118;C0096;padrao;P026;Delineador líquido preto;Delineador de ponta fina, secagem rápida;maquiagem;24,09;MegaOfertas SP;vendedor;2,6;2026-04-19;2026-04-26;a caixa chegou e logo de cara percebi que não tinha lacre nenhum, como se já tivesse sido aberta antes. aí fui ver o manual e era uma folha fotocopiada, bem diferente do impresso que vem nos originais da marca, o que me fez entender o que eu tinha recebido. paguei pelo produto anunciado e veio outra coisa.;falsificado;atendimento|produto|urgente;falsificado
R00174;C0041;padrao;P009;Controle sem fio GamePro X;Controle bluetooth com vibração, compatível com PC e celular;game;150,31;GameStation Oficial;loja_oficial;2,9;2026-07-23;2026-08-20;No dia 23/07 finalizei a compra de um controle sem fio e, enquanto aguardava a entrega, reli a política de devolução disponível no site da GameStation Oficial. O produto chegou alguns dias depois, mas minha dúvida principal permaneceu sem resposta porque o chat levou dias para retornar o contato. O que preciso entender é como proceder formalmente para cancelar a compra dentro do prazo previsto em lei, já que a leitura da política não deixou claro qual intervalo de tempo se aplica ao meu caso. Agradeço a atenção e aguardo orientação objetiva sobre os passos a seguir.;divergente_defeito;produto|ajuda|pagamento|problema;devolucao_ressarcimento
R00184;C0013;premium;P024;Kit pincéis de maquiagem 12 peças;Kit com 12 pincéis e estojo de viagem;maquiagem;98,32;Comercial Andrade;vendedor;3,1;2026-06-10;2026-07-03;Boa noite. Verifiquei que minha fatura apresenta dois lançamentos de R$ 98,32 referentes a um único pedido do Kit pincéis de maquiagem 12 peças, ou seja, o valor foi cobrado em duplicidade.;outros;pedido|urgente|ajuda;outros
R00140;C0018;padrao;P022;Base líquida tom 230;Base líquida de cobertura média, 30 ml;maquiagem;61,01;Comercial Andrade;vendedor;4,9;2026-05-11;2026-06-21;Prezados, A Andrade anuncia a base com uma lista de produtos sob encomenda. Entre esses produtos há mercadorias cuja venda é proibida pelo marketplace.;falsificado;pedido|compra|anuncio;artigo_proibido
R00143;C0070;padrao;P031;Mochila executiva impermeável;Mochila para notebook de até 15,6 polegadas, com saída USB;outros;183,05;Ponto Baixo Preço;vendedor;2,9;2026-01-26;2026-02-21;junto com a mochila executiva impermeável, o anúncio inclui um item que não é permitido ser comercializado nessa plataforma. vale verificar o anúncio, porque quem compra pode acabar se prejudicando por causa disso.;artigo_proibido;produto|problema;artigo_proibido
R00198;C0039;padrao;P007;Patinete infantil dobrável;Patinete de 3 rodas com altura ajustável, até 50 kg;brinquedo;226,52;ToyMundo Oficial;loja_oficial;4,4;2026-08-25;2026-10-19;comprei o patinete infantil dobrável aqui e precisso trocar o pagamento, escolhi boleto mas queria pagar no cartao… alguem sabe como faz isso? fui no app e nao encontrei nenhum lugar pra alterar;outros;atendimento|urgente|produto|garantia;outros
R00011;C0071;padrao;P010;Headset gamer HX-70;Headset com microfone destacável e som posicional;game;230,84;Comercial Andrade;vendedor;4,9;2026-03-14;2026-03-23;Fiz o pedido do headset em 14/03, com prazo de 9 dias úteis para receber o produto, porém ele nunca apareceu aqui. O histórico de movimentação do pacote está parado há dias e o vendedor Andrade não fornece nenhuma informação sobre quando o item vai chegar. E de quebra o aplicativo não me deixa alterar o endereço de um outro pedido, fica o registro. Fico no aguardo.;entrega;garantia|compra|produto|ajuda;entrega
