id;pergunta
p01;quais comunicados de 2026 alteram a política de trocas e devoluções?
p02;quais políticas foram alteradas por comunicado em 2026?
p03;quantas versões a POL DEV 03 já teve, e qual está vigente?
p04;qual categoria tem hoje o maior prazo de garantia?
p05;quais categorias tiveram o prazo de garantia alterado entre a tabela anterior e a atual?
p06;cliente do plano padrão com compra de R$ 4.500, quanto recebe no máximo, e qual comunicado fixou esse valor?
p07;sou cliente premium e comprei uma cadeira de R$ 900 que deu defeito há 100 dias, ainda posso pedir reembolso?
p08;quais políticas o manual de atendimento remete?
p09;chamado de suspeita de má-fé do vendedor vai para qual área e segue qual política?
p10;quantos comunicados foram publicados entre abril e julho de 2026?
p11;como mudou o teto de reembolso do plano padrão desde 2025?
p12;qual comunicado alterou o teto do plano padrão, que versão da política consolidou, e desde quando vale?
p13;sou cliente premium e comprei uma cadeira de R$ 900 que deu defeito há 100 dias, ainda posso pedir reembolso, e de quanto?
p14;quantos comunicados de 2026 alteraram valores ou prazos de políticas?
