id;pergunta;data_referencia;resposta_referencia
q01;abri uma disputa contra o vendedor, ele continua recebendo o dinheiro enquanto isso?;2026-09-04;retido
q02;denunciei que meu produto parece imitação, em quanto tempo me respondem?;2026-09-04;5 dias úteis
q03;recebi o produto ontem e me arrependi da compra, tenho quantos dias para desistir?;2026-09-04;7 dias corridos
q04;me ofereceram cupom no lugar do dinheiro do reembolso, sou obrigado a aceitar?;2026-09-04;aceite expresso
q05;o vendedor tem quanto tempo para se defender depois que abro a disputa?;2026-09-04;3 dias úteis
q06;recusei o pacote na porta de casa, as parcelas continuam vindo no cartão?;2026-09-04;cobrança é cancelada
q07;comprei por impulso e mudei de ideia, qual é o prazo para devolver?;2026-09-04;7 dias corridos
q08;devolver um produto custa alguma coisa para mim?;2026-09-04;sem custo
q09;o vendedor pediu pagamento por fora e sumiu, o que acontece com o dinheiro dele?;2026-09-04;retido
q10;a entrega atrasou muito, tenho direito de receber o frete de volta?;2026-09-04;frete é reembolsado
q11;devolvi o produto, o dinheiro volta para onde?;2026-09-04;mesmo meio de pagamento
q29;o produto veio com defeito, posso trocar em vez de devolver?;2026-09-04;escolhe entre troca
q30;o vendedor ofereceu desconto se eu pagar por fora da plataforma, é seguro?;2026-09-04;não tem proteção
q12;comprei uma coisa de R$ 80 e vou devolver, em quanto tempo sai o reembolso?;2026-09-04;5 dias úteis
q13;meu headset deu defeito, quanto tempo de garantia a plataforma dá para games?;2026-09-04;180 dias
q14;batom veio com defeito, qual é o prazo de garantia para maquiagem?;2026-09-04;60 dias
q15;posso vender chave de ativação de jogo digital na plataforma?;2026-09-04;chaves de ativação
q16;réplica de arma de airsoft pode ser anunciada?;2026-09-04;réplicas de armas
q17;o vendedor já respondeu a minha disputa, quanto tempo até a decisão?;2026-09-04;10 dias úteis contados da abertura
q18;qual é o teto de reembolso do plano padrão hoje?;2026-09-04;R$ 4.000,00
q19;em maio de 2026, qual era o teto de reembolso do plano padrão?;2026-05-15;R$ 2.000,00
q20;qual é o prazo de referência de entrega para capitais?;2026-09-04;5 dias úteis
q21;um pedido feito em 22/07/2026 para capital tinha qual prazo de referência?;2026-07-22;acrescidos de 2 dias úteis
q22;qual era o prazo de garantia de brinquedo em novembro de 2025?;2025-11-01;30 dias
q23;o que diz o comunicado COM 2026 019?;2026-09-04;vedado oferecer cupom
q24;quais são os benefícios do Clube Q+?;2026-09-04;frete grátis
q25;qual é o teto de reembolso para assinante do Clube Q+?;2026-09-04;R$ 8.000,00
q26;o que a POL AUT 02 garante ao comprador?;2026-09-04;reembolso integral
q31;todo chamado que eu abro ganha um número para acompanhar?;2026-09-04;protocolo
q32;reclamei de duas coisas diferentes na mesma mensagem, como isso é tratado?;2026-09-04;um chamado para cada
q33;a transportadora perdeu o meu pacote de vez, o que eu posso escolher?;2026-09-04;reenvio
q34;quem assina o plano tem atendimento mais rápido?;2026-09-04;1 dia útil
q35;denunciei um anúncio de item que não pode ser vendido, qual área cuida disso?;2026-09-04;conformidade
q36;me ofereceram cupom no lugar do estorno do pix, isso é permitido?;2026-09-04;aceite expresso
q37;se eu desistir da compra, o frete que paguei também volta?;2026-09-04;frete pago no momento da compra
q38;o vendedor pediu para continuar a conversa fora da plataforma, devo aceitar?;2026-09-04;não tem proteção
q39;o prazo estourou faz uma semana, quero pelo menos o frete que paguei;2026-09-04;frete de volta
q40;produto de R$ 350 veio com defeito, como fica o meu reembolso?;2026-09-04;10 dias úteis
q41;comprei uma coisa acima de R$ 500, o que muda no reembolso?;2026-09-04;análise documental
q42;qual é o prazo de garantia para livro?;2026-09-04;30 dias
q43;posso vender suplemento alimentar sem registro?;2026-09-04;registro sanitário
q44;anunciar conta de streaming revendida pode?;2026-09-04;assinaturas digitais
q45;o reembolso do assinante segue prazo diferente?;2026-09-04;metade dos prazos
q46;qual é hoje a garantia da categoria game?;2026-09-04;180 dias
q47;em novembro de 2025, qual era o teto de reembolso do plano padrão?;2025-11-01;R$ 1.500,00
q48;antes da versão 3 da política, qual era o prazo de reembolso acima de R$ 100?;2026-05-15;15 dias úteis
q49;qual era o teto de reembolso do assinante em novembro de 2025?;2025-11-15;R$ 5.000,00
q50;qual é o prazo de referência de entrega fora das capitais hoje?;2026-09-04;10 dias úteis
q51;o que muda com o COM 2026 014?;2026-09-04;R$ 4.000,00
q52;o que o COM 2026 007 estabelece?;2026-09-04;fila prioritária
q53;o que a POL ENT 02 diz sobre atraso?;2026-09-04;frete é reembolsado
q54;o que é o Clube Q+?;2026-09-04;programa de assinatura
q55;qual é o horário do chat de atendimento?;2026-09-04;8h às 20h
q56;dá para retirar a compra num ponto parceiro em vez de receber em casa?;2026-09-04;ponto parceiro
q57;o que é a campanha Troca Verde?;2026-09-04;reaproveitamento
q58;as avaliações dos produtos têm alguma verificação?;2026-09-04;avaliação verificada
q59;dá para acompanhar o pedido em tempo real?;2026-09-04;rastreio em tempo real
q60;o chat atende em feriado?;2026-09-04;feriados nacionais
q61;recebo aviso quando o pedido sai para entrega?;2026-09-04;também por mensagem
q62;me arrependi de um batom que já abri, posso devolver?;2026-09-04;lacre rompido
q63;comprei um item com envio internacional, o prazo de entrega muda?;2026-09-04;em dobro
q64;cancelei o Clube Q+, meu teto de reembolso muda na hora?;2026-09-04;fim do ciclo vigente
